question,answer
Apa saja yang termasuk layanan gugatan kelompok (class action)?,"1. Gugatan perwakilan kelompok dapat diajukan dalam perkara wakaf, zakat, infaq dan shadaqah.
2. Penggugat mengajukan surat gugatan kelompok mengacu pada persyaratan persyaratan yang diatur oleh hukum acara perdata yang berlaku, dan harus memuat:
a. Identitas lengkap dan jelas dari wakil kelompok.
b. Definisi kelompok secara rinci dan spesifik walaupun tanpa menyebutkan nama anggota kelompok satu-persatu.
c. Keterangan tentang anggota kelompok yang diperlukan dalam kaitan dengan kewajiban melakukan pemberitahuan.
3. Untuk mewakili kepentingan hukum anggota kelompok, wakil kelompok tidak dipersyaratkan memperoleh surat kuasa khusus dari anggota.
4. Hakim memutuskan apakah gugatan perwakilan yang diajukan sah atau tidak. Apabila penggunaan prosedur gugatan perwakilan kelompok dinyatakan sah, maka Hakim segera memerintahkan Penggugat mengajukan usulan model pemberitahuan untuk memperoleh persetujuan Hakim. Apabila penggunaan tata cara gugatan perwakilan kelompok dinyatakan tidak sah, maka pemeriksaan gugatan dihentikan dengan suatu putusan Hakim.
5. Dalam proses perkara tersebut Hakim wajib mendorong para pihak untuk menyelesaikan perkara dimaksud melalui perdamaian, baik pada awal persidangan maupun selama berlangsungnya pemeriksaan perkara.
6. Pengadilan wajib melakukan pemberitahuan kepada anggota kelompok pada tahap-tahap:
a. Segera setelah Hakim memutuskan bahwa pengajuan tata cara gugatan perwakilan kelompok dinyatakan sah, selanjutnya anggota kelompok dapat membuat pernyataan keluar.
b. Pada tahap penyelesaian dan pendistribusian ganti rugi ketika gugatan dikabulkan.
7. Apabila gugatan ganti rugi dikabulkan, Hakim wajib memutuskan jumlah ganti rugisecara rinci, penentuan kelompok dan/atau sub kelompok yang berhak, mekanisme pendistribusian ganti rugi dan langkah-langkah yang wajib ditempuh oleh wakil kelompok dalam proses penetapan dan pendistribusian seperti halnya kewajiban melakukan pemberitahuan atau notifikasi."
Apa saja yang termasuk layanan administrasi persidangan?,"1. Ketua Pengadilan Agama atau Mahkamah Syari’ah menetapkan Majelis Hakim yang akan menyidangkan perkara selambat-lambatnya 10 (sepuluh) hari kerja sejak perkara didaftarkan.
2. Ketua Majelis Hakim sudah menetapkan hari sidang pertama selambat-lambatnya dalam 7 (tujuh) hari kerja. Dalam menetapkan hari sidang, Ketua Majelis Hakim harus memperhatikan jauh-dekatnya tempat tinggal para pihak yang berperkara dengan tempat persidangan.
3. Untuk para pihak yang berdomisili di luar negeri maka tenggang waktu antara pemanggilan dengan persidangan sekurang-kurangnya 6 (enam) bulan sejak surat permohonan pemanggilan dikirimkan.
4. Untuk pemeriksaan perkara cerai dilakukan selambat-lambatnya 30 (tiga puluh) hari sejak tanggal surat gugatan didaftarkan di kepaniteraan Pengadilan Agama atau Mahkamah Syar'iyah
5. Pengadilan mengumumkan jadwal persidangan dan penundaan sidang (dengan mencantumkan alasan penundaan) pada papan pengumuman pengadilan atau media lain yang mudah diakses oleh masyarakat.
6. Pengadilan mengirimkan salinan putusan pengadilan kepada para pihak, termasuk para pihak yang tidak hadir pada sidang pembacaan putusan, paling lama 14 (empat belas hari) setelah putusan dibacakan di muka persidangan."
Apa saja yang termasuk layanan mediasi?,"1. Mediasi dalam Persidangan:
a. Pengadilan memberikan layanan mediasi bagi para pihak dalam persidangan dan tidak dipungut biaya.
b. Para pihak dapat memilih mediator berdasarkan daftar nama mediator yang disediakan oleh Pengadilan, yang memuat sekurang-kurangnya 5 (lima) nama mediator dan disertai dengan latar belakang pendidikan atau pengalaman para mediator.
c. Para pihak dapat memilih mediator yang bukan hakim, maka biaya mediator menjadi beban para pihak.
d. Jika para pihak gagal memilih mediator, ketua majelis hakim akan segera menunjuk hakim bukan pemeriksa pokok perkara yang bersertifikat pada pengadilan yang sama untuk menjalankan fungsi mediator.
e. Pengadilan menyediakan ruangan khusus mediasi yang bersifat tertutup dengan tidak dipungut biaya.
2. Mediasi di luar persidangan:
a. Masyarakat yang bersengketa dapat menyelesaikan sengketa mereka melalui mediator bersertifikat di luar Pengadilan.
b. Apabila telah tercapai kesepakatan perdamaian maka dapat mengajukan Gugatan kepada pengadilan yang berwenang untuk memperoleh Akta Perdamaian
c. Pengadilan menerbitkan Akta Perdamaian setelah para pihak mendaftarkan gugatan mereka di Pengadilan dengan melampirkan hasil kesepakatan mediasi dan sertifikat mediator."
Apa saja yang termasuk layanan sidang keliling?,"1. Sidang keliling adalah sidang pengadilan yang dilaksanakan di luar gedung pengadilan yang diperuntukan bagi masyarakat yang mengalami hambatan untuk datang ke kantor pengadilan karena alasan jarak, transportasi dan biaya.
2. Semua orang dapat mengajukan perkaranya untuk diselesaikan melalui pelayanan sidang keliling oleh pengadilan setempat. Namun demikian, tidak semua pengadilan melaksanakan sidang keliling, terutama pengadilan yang berada di ibukota propinsi.
3. Semua perkara pada dasarnya dapat diajukan melalui sidang keliling, akan tetapi karena keterbatasan pada pelayanan sidang keliling, maka perkara yang dapat diajukan melalui sidang keliling, di antaranya adalah:
a. Itsbat nikah: pengesahan/pencacatan nikah bagi pernikahan yang tidak terdaftar di KUA b. Cerai gugat: gugatan cerai yang ajukan oleh istri
c. Cerai talak: permohonan cerai yang diajukan oleh suami
d. Penggabungan perkara Itsbat dan cerai gugat/cerai talak apabila pernikahan tidak tercatat dan akan mengajukan perceraian .
e. Hak asuh anak: Gugatan atau permohonan hak asuh anak yang belum dewasa.
f. Penetapan ahli waris: Permohonan untuk menetapkan ahli waris yang sah.
4. Sidang keliling dilaksanakan di tempat-tempat yang representatif pada lokasi dimana sidang diadakan antara lain di balai desa, kantor kecamatan, kantor KUA, atau tempat fasilitas umum yang mudah dijangkau oleh masyarakat yang tinggal jauh dari kantor pengadilan.
5. Pengadilan mengumumkan waktu, tempat dan biaya sidang keliling melalui media pengumuman di pengadilan dan pada lokasi dimana sidang keliling akan dilaksanakan.
6. Persyaratan administrasi yang perlu dilengkapi untuk mengajukan perkara pada sidang keliling adalah:
a. Surat gugatan atau permohonan
b. Kelengkapan dokumen-dokumen yang diperlukan sesuai dengan perkara yang diajukan. (Lihat poin IV.B dan C).
c. Membayar panjar biaya perkara yang telah di tetapkan oleh Pengadilan. Bagi yang tidak mampu membayar maka dapat mengajukan prodeo atau beperkara secara gratis (lihat panduan cara mengajukan prodeo).
d. Pada saat pelaksanaan Persidangan Pemohon/penggugat harus membawa minimal 2 (dua) orang saksi yang mengetahui permasalahan penggugat/pemohon.
e. Menyerahkan semua persyaratan yang sudah lengkap tersebut di atas ke kantor pengadilan baik secara pribadi atau perwakilan yang ditunjuk.
f. Setelah persyaratan diserahkan, minta tanda bukti pembayaran (SKUM), dan satu salinan surat gugatan/permohonan yang telah diberi nomor perkara.
7. Setelah perkara diputus, salinan putusan bisa diambil di Pengadilan atau di tempat sidang keliling."
Apa saja yang termasuk layanan Itsbat Rukyatul Hilal?,"1. Pemohon (Kantor Kementerian Agama) mengajukan permohonan itsbat kesaksian rukyat hilal kepada Pengadilan Agama atau Mahkamah Syar’iyah yang membawahi wilayah tempat pelaksanaan rukyat hilal.
2. Panitera atau petugas yang ditunjuk mencatat permohonan tersebut dalam register khusus untuk itu.
3. Sidang itsbat rukyat hilal dilaksanakan di tempat rukyat hilal (sidang di tempat), dilakukan dengan cepat dan sederhana, sesuai dengan kondisi setempat.
4. Ketua Pengadilan Agama atau Mahkamah Syar’iyah menunjuk hakim majelis atau hakim tunggal untuk menyidangkan permohonan tersebut
5. Hakim yang bertugas harus menyaksikan kegiatan pelaksanaan rukyat hilal.
6. Pelaksanaan rukyat hilal harus sesuai dengan data yang diterbitkan oleh Badan Hisab Rukyat (BHR) Kementerian Agama RI.
7. Semua biaya yang timbul akibat permohonan tersebut dibebankan kepada anggaran negara."
Apa saja yang termasuk layanan administrasi upaya hukum untuk perkara banding?,"a. Para Pihak dapat mengajukan permohonan banding kepada Petugas Meja Pertama dalam waktu 14 (empat belas) hari kalender setelah putusan diucapkan atau setelah diberitahukan dalam hal putusan tersebut diucapkan diluar hadir.
b. Pengadilan mendaftarkan perkara dan memberikan Akta Pernyataan Banding kepada Pemohon Banding apabila panjar biaya banding telah dibayar lunas.
c. Masyarakat dapat melakukan pembayaran biaya perkara melalui Bank, kecuali di daerah tersebut tidak ada Bank. Pegawai Pengadilan tidak dibenarkan menerima pembayaran biaya perkara langsung dari pihak berperkara (SEMA No. 4/2008).
d. Pengadilan menyampaikan permohonan banding kepada Pihak Terbanding dalam waktu 7 (tujuh) hari kalender, tanpa perlu menunggu diterimanya memori banding.
e. Pengadilan tingkat pertama mengirimkan berkas banding (Berkas A dan B) ke Pengadilan Tinggi dalam waktu 30 (tiga puluh) hari sejak permohonan banding diajukan.
f. Pemohon banding dapat melakukan pencabutan permohonan banding dengan mengajukan kepada Ketua Pengadilan Agama yang ditanda tangani oleh pembanding (harus diketahui oleh prinsipal apabila permohonan banding diajukan oleh kuasanya) dengan menyertakan akta panitera.
g. Pengadilan tingkat banding wajib mengirimkan salinan putusan dikirim pada pengadilan Agama untuk diberitahukan kepada para pihak. Panitera wajib membuat akta pemberitahuan putusan dalam waktu paling lama 14 (empat belas) hari."
Apa saja yang termasuk layanan administrasi upaya hukum untuk perkara kasasi?,"a. Permohonan kasasi dalam waktu 14 (empat belas) hari kalender setelah putusan atau penetapan Pengadilan diucapkan dan diberitahukan (dalam hal putusan tersebut diucapkan di luar hadirnya).
b. Pemohon kasasi menerima SKUM yang dicap/stempel Lunas oleh Pemegang Kas setelah menyerahkan bukti pembayaran.
c. Petugas Meja Pendaftaran meregister permohonan kasasi dan menyerahkan akta pernyataan kasasi yang dilampirkan pada berkas perkara.
d. Pengadilan menyampaikan permohonan kasasi dalam waktu 7 (tujuh) hari kepada pihak lawan.
e. Memori kasasi selambat-lambatnya dalam waktu 14 (empat belas) hari sesudah pernyataan kasasi harus sudah diterima pada kepaniteraan pengadilan negeri.
f. Panitera wajib memberikan tanda terima atas penerimaan memori kasasi dan dalam waktu selambat-lambatnya 30 (tiga puluh) hari kalender salinan memori kasasi tersebut disampaikan kepada pihak lawan dalam perkara yang dimaksud.
g. Jawaban atau kontra memori kasasi selambat-lambatnya 14 (empat belas) hari kalender sesudah disampaikannya memori kasasi harus sudah diterima pada kepaniteraan pengadilan negeri untuk disampaikan pihak lawannya.
h. Sebelum berkas perkara dikirim ke Mahkamah Agung harus diberikan kesempatan kepada kedua belah untuk mempelajari/memeriksa berkas perkara (inzage) dan dituangkan dalam akta.
i. Pengadilan tingkat pertama dalam waktu 65 (enam puluh lima) hari sejak permohonan kasasi diajukan, harus sudah mengirimkan berkas kasasi (Berkas A dan B) ke Mahkamah Agung.
j. Pencabutan permohonan kasasi diajukan kepada Ketua Pengadilan Agama yang ditanda tangani oleh pemohon kasasi (harus diketahui oleh prinsipal apabila permohonan kasasi diajukan oleh kuasanya) dengan menyertakan akta panitera.
k. Pencabutan permohonan kasasi harus segera dikirim oleh Panitera ke Mahkamah Agung disertai akta pencabutan yang ditandatangani oleh Panitera.
l. Mahkamah Agung wajib mengirimkan salinan putusan kepada Pengadilan Agama untuk diberitahukan kepada Para Pihak paling lambat dalam waktu 2 (dua) hari untuk perkara yang berdasarkan oleh peraturan perundang-undangan harus selesai dalam waktu 30 (tiga puluh) hari dan 2 (dua) bulan untuk perkara yang tidak bersifat prioritas."
Apa saja yang termasuk layanan administrasi upaya hukum untuk perkara peninjauan kembali?,"a. Permohonan peninjauan kembali dapat diajukan dalam waktu 180 (seratus delapan puluh) hari alender.
b. Pemohon kasasi menyerahkan tanda bukti pembayaran panjar biaya perkara dan menerima SKUM yang telah dibubuhi cap stempel lunas dari Pemegang Kas. Pengadilan pada hari itu juga wajib membuat akta pernyataan peninjauan kembali yang dilampirkan pada berkas perkara dan meregister permohonan peninjauan kembali.
c. Selambat-lambatnya dalam waktu 14 (empat belas) hari panitera wajib memberitahukan tentang permohonan PK kepada pihak lawannya dengan memberikan/mengirimkan salinan permohonan peninjauan kembali beserta alasan-alasanya kepada pihak lawan.
d. Jawaban/tanggapan atas alasan peninjauan kembali selambat-lambatnya 30 (tiga puluh) hari sejak alasan PK tersebut diterima harus sudah diterima kepaniteraan untuk disampaikan pihak lawan.
e. Jawaban/tanggapan atas alasan PK yang diterima kepaniteraan pengadilan harus dibubuhi hari dan tanggal penerimaan yang dinyatakan diatas surat jawaban tersebut.
f. Pencabutan permohonan peninjauan kembali diajukan kepada Ketua Pengadilan yang ditandatangani oleh pemohon peninjauan kembali (harus diketahui oleh pemohon apabila permohonan peninjauan kembali diajukan oleh kuasanya) dengan menyertakan akta panitera.
g. Pencabutan permohonan peninjauan kembali harus segera dikirim oleh Panitera ke Mahkamah Agung disertai akta pencabutan yang ditandatangani oleh Panitera.
h. Dalam hal perkara telah diputus, Mahkamah Agung wajib mengirimkan salinan putusan pada Pengadilan Agama pengaju untuk diberitahukan kepada Para Pihak paling lambat dalam waktu 2 (dua) hari untuk perkara yang berdasarkan oleh peraturan perundang-undangan harus selesai dalam waktu 30 (tiga puluh) hari dan 2 (dua) bulan untuk perkara yang tidak bersifat prioritas."
Bagaimana syarat dan prosedur permohonan pembatalan pernikahan?,"SYARAT PENGAJUAN:

Fotokopi KTP Pemohon
Fotokopi akta nikah yang mau diajukan pembatalan nikah
Surat Permohonan Pembatalan Nikah (di Posbakum)
Suatu perkawinan dapat dibatalkan apabila:
Seorang suami melakukan poligami tanpa izin Pengadilan Agama
Perempuan yang dikawini ternyata kemudian diketahui masih menjadi istri pria lain yang mafqud
Perempuan yang dikawini ternyata masih dalam iddah dari suami lain
Perkawinan yang melanggar batas umur perkawinan sebagaimana ditetapkan dalam pasal 7 UU no.1 tahun 1974
Perkawinan dilangsungkan tanpa wali atau dilaksanakan oleh wali yang tidak berhak
Perkawinan yang dilaksanakan dengan paksaan.
Catatan:
Semua Fotokopi persyaratan yang dilampirkan harus dileges (nazegelen) di kantor pos kecuali KTP"
Apa saja jenis atau penyebab gugatan kelalaian atas kewajiban suami dan istri?,"Banyak perkara gugatan perceraian diajukan oleh istri dengan alasan ekonomi. Di mana suami tidak atau kurang menafkahi istri. Padahal, menafkahi istri adalah salah satu kewajiban bagi suami. Setelah ditelisik lebih lanjut, alasan perceraian karena perselisihan dan pertengkaran itu, sebagian besar juga karena persoalan ekonomi. Lebih spesifik adalah nafkah materi. Yaitu kebutuhan pangan, dan sandang untuk sehari-hari. Artinya, kelalaian dalam hal nafkah, di mana nafkah adalah salah satu kewajiban suami terhadap istri, menjadi salah satu faktor yang cukup signifikan. Dalam kaitannya dengan alasan perceraian.

Selain faktor ekonomi atau kewajiban menafkahi, gugatan kelalaian atas kewajiban suai dan istri juga terjadi karena nusyuz. Relevansi konsep nusyuz dengan diskusi kita ini adalah, bahwa nusyuz menghalangi istri untuk menghalangi istri untuk mendapat hak-haknya. Yang artinya, suami tidak perlu menunaikan kewajiban kepada istri. Termasuk di dalamnya adalah kewajiban nafkah. 

Nusyuz adalah durhaka atau membangkang. Dalam KHI, jika istri tidak melakukan kewajiban, maka dapat dianggap nusyuz. Konsekuensi dari nusyuz adalah bahwa suami terlepas kewajibannya untuk memberikan nafkah, kiswah dan tempat kediaman bagi istri, biaya rumah tangga, biaya perawatan dan biaya pengobatan bagi istri dan anak.

Ketentuan tersebt dapat dilihat dalam Kompilasi Hukum Islam (KHI) Pasal 84 ayat (1), (2), dan (3) yang menyatakan bahwa, “(1) istri dapat dianggap nusyuz jika ia tidak mau melaksanakan kewajiban-kewajiban sebagaimana dimaksud dalam Pasal 83 ayat (1) kecuali dengan alasan yang sah (2) Selama istri dalam nusyuz, kewajiban suami terhadap istrinya tersebut pada Pasal 80 ayat (4) huruf a dan b tidak berlaku kecuali hal-hal untuk kepentingan anaknya. (3) Kewajiban suami tersebut pada ayat (2) di atas berlaku kembali sesuadah istri nusyuz.”[30]

Kemudian, ada atau tidaknya nusyuz harus didasarkan atas bukti yang sah, Ketentuan tersebut dapat dilihat dalam Kompilasi Hukum Islam (KHI) Pasal 84 ayat (4) yang menyatakan bahwa, “Ketentuan tentang ada atau tidak adanya nusyuz dari istri harus didasarkan atas bukti yang sah. Jika memang terbukti, maka baru berlaku ketentuan bahwa istri tidak berhak atas nafkah.[31]

Sampai di sini, kita bisa menyimpulkan, bahwa suami punya kewajiban kepada istri tentang nafkah. Apakah itu kiswah, tempat kediaman, biaya rumah tangga, biaya perawatan dan biaya pengobatan bagi istri dan anak. Kewajiban itu gugur jika istri nusyuz. Kemudian, kewajiban-kewajiban itu, jika tidak tidak dilaksanakan, bisa digugat oleh istri di pengadilan.

Informasi lebih lengkap, silahkan kunjungi laman berikut: https://drive.google.com/file/d/10i2AKv9v3BOKaw1LbqaYkoX_2VSCyiII/view"
Bagaimana prosedur mengajukan gugatan kelalaian atas kewajiban suami dan istri?,"Di dalam undang-undang tidak ditetapkan secara tegas syarat-syarat formil surat gugatan. Namun, pada perkembangannya, ada semacam konsensus tentang syarat-syarat formil tersebut.

Beberapa hal yang telah disepakati sebagai syarat formil di antaranya adalah diajukan kepada Ketua Pengadilan, diberi tanggal dan ditandatangani Penggugat atau kuasanya, memuat identitas para pihak, memuat posita dan petitum.

Dengan melihat beberapa ketentuan itu, syarat formil surat gugatan nafkah sama halnya dengan gugatan perdata pada umumnya. Yang artinya, syarat-syarat formil gugatan nafkah tidak berbeda dengan gugatan perdata lainnya.

Adapun syarat materil adalah keterkaitan petitum dengan posita. Di dalam posita harus disebutkan secara kronologis tentang pernikahan tersebut. Termasuk di mana mereka membina rumah tangga setelah menikah. Baru kemudian disebutkan bahwa kemudian, suami tidak memberi nafkah sejak kapan, hingga gugatan tersebut diajukan.

Kemudian, di dalam petitum pertama memohon kepada majelis hakim agar mengabulkan gugatan penggugat. Dan diikuti dengan petitum kedua berupa detail gugatan nafkahnya. Dari sejak kapan hingga bulan apa. Termasuk besaran nafkah yang dituntut per bulannya. Dan diikuti dengan jumlah nilai keseluruhan yang digugat.

Kemudian, petitum ketiga tentang biaya perkara. Memohon kepada majelis hakim agar membebankan biaya perkara menurut hukum. Baru kemudian petitum subsidair. Yang berbunyi “jika majelis hakim berpendapat lain, mohon putusan seadil-adilnya.”

Bisa juga disisipkan dalam petitum kedua agar menyatakan suami lalai dalam memberi nafkah. Baru kemudian disusul dengan petitum ketiga tentang perincian nilai gugatan. Baru petitum keempat tentang biaya perkara. Artinya, dengan terbuktinya fakta itu, bahwa suami lalai, majelis hakim mempunyai dasar yang lebih kuat untuk menghukum Tergugat untuk membayar nafkah.  

Dengan demikian, ada kesesuaian antara posita yang berupa uraian kronologis itu, dengan bunyi tuntutan. Yaitu tentang nafkah. Dengan adanya kesesuaian itu, maka surat gugatan telah memenuhi syarat materil."
Apa sajakah kewenangan Peradilan Agama dalam perkara infaq dan sedekah?,"Dalam penyelesaian perkara sedekah, peradilan agama akan mempertimbangkan beberapa hal, antara lain; niat pemberi sedekah, jenis sedekah, pihak yang berhak menerima sedekah, serta apakah sedekah tersebut telah memenuhi syariat agama."
siapa saja pihak yang dapat mengajukan gugatan sedekah dan infaq?,"Orang atau badan hukum yang dapat mengajukan gugatas sedekah kepada Pengadilan Agama, ialah :

1. Golongan yang berhak menerima zakat dan sedekah (golongan 8 asnaf).
2. Mutashhadiq atau orang yang bersedekah atau ahli warisnya
3. Pejabat yang berwenang mengawasi pelaksanaan zakat, infak/sedekah menurut UU yang berlaku
4. Pihak-pihak yang mengetahui adanya penyalahgunaan benda/dana sedekah"
perkara seperti apa yang digugat ke pengadilan agama terkait dengan sedekah dan infaq?,"Penyelesaian sengketa sedekah di peradilan agama terjadi apabila sengketa tersebut memenuhi syarat-syarat formal yang termuat dalamperaturan perundang-undangan. Konflik yang dapat terjadi berkenaan dengan sedekah, seperti penyaluran sedekah yang tidak merata dan tidak adil, penyalahgunaan dana sedekah untuk kepentingan pribadi pengurus/yayasan, atau Badan Amil Zakat, Infak, dan Sedekah (BAZIS) yang berkewajiban mengelola dan menyalurkan dana sedekah justru menyelewengkannya dengan korupsi atau manipulasi."
Apa itu perceraian karena talak?,"Cerai talak berdasarkan Pasal 114 KHI merupakan putusnya perkawinan yang dapat terjadi karena talak atau berdasarkan gugatan perceraian. Talak merupakan ikrar suami di hadapan Pengadilan Agama yang menjadi salah satu sebab putusnya perkawinan.

Permohonan cerai talak merupakan perceraian yang diajukan oleh suami. Sementara gugatan perceraian yang diajukan oleh istri disebut cerai gugat. Dalam Kompilasi Hukum Islam, talak adalah ikrar suami di hadapan sidang Pengadilan Agama yang menjadi salah satu sebab putusnya perkawinan. Pasal 129 berbunyi, “Seorang suami yang akan menjatuhkan talak kepada isterinya mengajukan permohonan, baik lisan maupun tertulis kepada Pengadilan Agama yang mewilayahi tempat tinggal istri disertai dengan alasan, serta meminta agar diadakan sidang untuk keperluan itu.”"
Bagaimana mekanisme pengajuan perkara cerai talak?,"Mekanisme Dan Tata Cara Pengajuan Perkara Cerai Talak di Pengadilan Agama:

Langkah-langkah yang harus dilakukan Pemohon (Suami) atau Kuasanya:

- Mengajukan permohonan secara tertulis atau lisan kepada pengadilan agama/mahkamah syariah (Pasal 118 HIR, 142 R.Bg jo Pasal 66 UU No. 7 Tahun 1989);
- Pemohon dianjurkan untuk meminta petunjuk kepada pengadilan agama/mahkamah syar’iah tentang tata cara membuat surat permohonan (Pasal 119 HIR, 143 R.Bg jo. Pasal 58 UU No. 7 Tahun 1989);
- Surat permohonan dapat dirubah sepanjang tidak merubah posita dan petitum. Jika Termohon telah menjawab surat permohonan ternyata ada perubahan, maka perubahan tersebut harus atas persetujuan Termohon.
- Permohonan tersebut diajukan kepada pengadilan agama/mahkamah syar’iah :
--Yang daerah hukumnya meliputi tempat kediaman Termohon (Pasal 66 ayat (2) UU No. 7 Tahun 1989);
--Bila Termohon meninggalkan tempat kediaman yang telah disepakati bersama tanpa izin Pemohon, maka permohonan harus diajukan kepada pengadilan agama/mahkamah syariah yang daerah hukumnya meliputi tempat kediaman Pemohon (Pasal 66 ayat (2) UU No. 7 Tahun 1989);
--Bila Termohon berkediaman di luar negeri, maka permohonan diajukan kepada pengadilan agama/mahkamah syariah yang daerah hukumnya meliputi tempat kediaman Pemohon (Pasal 66 ayat (3) UU No. 7 Tahun 1989);
--Bila Pemohon dan Termohon bertempat kediaman di luar negeri, maka permohonan diajukan kepada pengadilan agama/mahkamah syariah yang daerah hukumnya meliputi tempat dilangsungkannya perkawinan atau kepada Pengadilan Agama Jakarta Pusat (Pasal 66 ayat (4) UU No. 7 Tahun 1989).
- Permohonan tersebut memuat :
--Nama, umur, pekerjaan, agama dan tempat kediaman Pemohon dan Termohon;
--Posita (fakta kejadian dan fakta hukum);
--Petitum (hal-hal yang dituntut berdasarkan posita).
- Permohonan soal penguasan anak, nafkah anak, nafkah istri dan harta bersama dapat diajukan bersama-sama dengan permohonan cerai talak atau sesudah ikrar talak diucapkan (Pasal 66 ayat (5) UU No. 7 Tahun 1989).
- Membayar biaya perkara (Pasal 121 ayat (4) HIR, 145 ayat (4) R.Bg. Jo Pasal 89 UU No. 7 Tahun 1989), bagi yang tidak mampu dapat berperkara secara cuma-cuma (prodeo) (Pasal 237 HIR, 273 R.Bg).

Proses Penyelesaian Perkara

- Pemohon mendaftarkan permohonan cerai talak ke pengadilan agama/mahkamah syariah.
- Pemohon dan Termohon dipanggil oleh pengadilan agama/mahkamah syar’iah untuk menghadiri persidangan.
- Tahapan persidangan :
--Pada pemeriksaan sidang pertama, hakim berusaha mendamaikan kedua belah pihak, dan suami istri harus datang secara pribadi (Pasal 82 UU No. 7 Tahun 1989);
--Apabila tidak berhasil, maka hakim mewajibkan kepada kedua belah pihak agar lebih dahulu menempuh mediasi (Pasal 3 ayat (1) PERMA No. 2 Tahun 2003);
--Apabila mediasi tidak berhasil, maka pemeriksaan perkara dilanjutkan dengan membacakan surat permohonan, jawaban, jawab menjawab, pembuktian dan kesimpulan. Dalam tahap jawab menjawab (sebelum pembuktian) Termohon dapat mengajukan gugatan rekonvensi (gugat balik) (Pasal 132 a HIR, 158 R.Bg);
--Putusan pengadilan agama/mahkamah syariah atas permohonan cerai talak sebagai berikut :
--Permohonan dikabulkan. Apabila Termohon tidak puas dapat mengajukan banding melalui pengadilan agama/mahkamah syar’iah tersebut;
--Permohonan ditolak. Pemohon dapat mengajukan banding melalui pengadilan agama/mahkamah syar’iah tersebut;
--Permohonan tidak diterima. Pemohon dapat mengajukan permohonan baru.
- Apabila permohonan dikabulkan dan putusan telah memperoleh kekuatan hukum tetap, maka:
--Pengadilan agama/mahkamah syar’iah menentukan hari sidang penyaksian ikrar talak;
--Pengadilan agama/mahkamah syar’iah memanggil Pemohon dan Termohon untuk melaksanakan ikrar talak;
--Jika dalam tenggang waktu 6 (enam) bulan sejak ditetapkan sidang penyaksian ikrar talak, suami atau kuasanya tidak melaksanakan ikrar talak didepan sidang, maka gugurlah kekuatan hukum penetapan tersebut dan perceraian tidak dapat diajukan lagi berdasarkan alasan hukum yang sama (Pasal 70 ayat (6) UU No. 7 Tahun 1989).
- Setelah ikrar talak diucapkan panitera berkewajiban memberikan Akta Cerai sebagai surat bukti kepada kedua belah pihak selambat-lambatnya 7 (tujuh) hari setelah penetapan ikrar talak (Pasal 84 ayat (4) UU No. 7 Tahun 1989)."
Apa saja yang dapat dijadikan alasan untuk mengajukan gugatan perceraian?,"Beberapa alasan yang dapat dijadikan alasan bagi seorang suami atau istri mengajukan gugatan cera sesuai UU Perkawinan, antara lain:

- Salah satu pihak berbuat zina atau menjadi pemabok, pemadat, penjudi, dan lain sebagainya yang susah disembuhkan.
- Salah satu pihak meninggalkan pihak lain selama 2 tahun berturut-turut tanpa izin pihak lain dan tanpa alasan yang sah atau karena hal lain di luar kemampuannya.
- Salah satu pihak mendapat hukuman penjara 5 tahun atau hukuman yang lebih berat setelah perkawinan berlangsung.
- Salah satu pihak melakukan kekejaman atau penganiayaan berat yang membahayakan pihak yang lain.
- Salah satu pihak mendapat cacat badan atau penyakit dengan akibat tidak dapat menjalankan kewajibannya sebagai suami atau istri.
- Antara suami dan istri terus-menerus terjadi perselisihan dan pertengkaran dan tidak ada harapan akan hidup rukun lagi dalam rumah tangga.
- Salah satu pihak, suami atau istri beralih keyakinan atau pindah agama.
- Pihak suami melakukan pelanggaran Taklik Talak yang diucapkannya sesaat setelah ijab kabul."
